sep=,
SMILES,Catalog ID,MW,MW (desalted),ClogP,logS,HBD,HBA,TPSA,RotBonds
CN(C(=O)C(C#N)=CC=1C=CC(=CC1)OC(F)F)C=2C=CC=CC2,Z56779351,328.314,328.314,3.908,-4.913,0,3,53.33,6
N#CC(=CC=1C=CC=CC1)C(=O)NC=2C=CC=C3C(=O)C=4C=CC=CC4C(=O)C23,Z56781896,378.381,378.381,4.746,-7.22,1,4,87.03,4
CC1=CC=C(O1)C2=NN(C=C2C=C(C#N)C(=O)NC=3C=CC(=CC3)SC(F)F)C=4C=CC=CC4,Z56785757,476.5,476.5,6.029,-6.84,1,3,83.85,8
O=C1N(C=2C=CC=CC2)C(C=3C=CC=CC3F)C1(F)F,Z2734828975,277.242,277.242,4.83,-5.01,0,1,20.31,2
CSC=1N=C(C)C(=CC1C#N)C(=O)C=2SC=3N=C(C)C(=CC3C2N)C(=O)NC=4C=CC=CC4,Z56796201,473.573,473.573,4.607,-7.28,2,6,121.76,6
CC(C)(C)NC(=O)C(C#N)=CC=1C=CC(=CC1)OC(F)F,Z56782161,294.297,294.297,2.828,-3.77,1,3,62.12,6
COC=1C=CC(C=C(C#N)C(=O)NC=2C=CC(=CC2)C34CC5CC(CC(C5)(C4)C=6C=CC=CC6)C3)=CC1,Z56785364,488.621,488.621,8.602,-9.13,1,3,62.12,7
COC=1C=CC(C=C(C#N)C(=O)NC=2C=C(C=CC2C)C34CC5CC(CC(C5)C4)C3)=CC1,Z56785368,426.551,426.551,7.043,-8.46,1,3,62.12,6
N#CC(=CC=1C=CC(=CC1)OC=2C=CC(=CC2[N+]([O-])=O)C(F)(F)F)C(=O)NC=3C=CC(F)=CC3,Z56807615,471.362,471.362,5.832,-8,1,4,105.26,8
CCC1CCCCN1C2=NC3=C(C=O)C(C)=NN3C4=CC=CC=C24,Z56780924,322.405,322.405,4.222,-4.47,0,4,50.5,3
N#CC(=CC=1C=CC(=CC1)OC(F)F)C(=O)N2CCCCCC2,Z56782823,320.335,320.335,3.514,-4.21,0,3,53.33,5
CC(C)CCN(CCC(C)C)C(=O)C(C#N)=CC=1C=CC(=CC1)OC(F)F,Z56786687,378.457,378.457,5.734,-6.17,0,3,53.33,11
N#CC(=CC1=CC=C(O1)N2CCOCC2)C(=O)NC=3C=CC(Cl)=CC3,Z56807647,357.791,357.791,2.59,-5.25,1,4,78.5,5
N#CC(=CC=1C=CC(Cl)=CC1)C(=O)NC2=NC=3C=CC(=CC3S2)OC(F)(F)F,Z56789925,423.798,423.798,5.941,-7.59,1,4,75.01,6
N#CC(=CC=1C=CC=C(C1)[N+]([O-])=O)C(=O)NC2=NC3=CC=C(C=C3S2)SC(F)F,Z56789943,432.427,432.427,4.711,-7.45,1,5,108.92,7
CN1C=C(C=CC1=C(C#N)C(=O)NC=2C=CC=C(C2)C(F)(F)F)C(F)(F)F,Z56791316,387.28,387.28,2.754,-5.26,1,3,56.13,5
