batch_size,hidden_dim,learning_rate,random_seed,gcn_test_r2,gcn_test_rmse,gcn_test_mae,gin_test_r2,gin_test_rmse,gin_test_mae,gat_test_r2,gat_test_rmse,gat_test_mae
16,32,0.001,42,0.6720803019195267,0.22147585975051223,0.17006384950483586,0.7145928910189472,0.20662127481630455,0.15184059598614863,0.5829365939688848,0.2497719626035004,0.1942036445908274
16,32,0.001,21,0.5978913840415988,0.2452530025088977,0.18375331567221792,0.6918666274327852,0.21469009700273417,0.15818335836543315,0.5969546839970996,0.24553849112867268,0.18443881278107996
16,32,0.001,0,0.5851002895461966,0.24912322042673643,0.1864419614676941,0.703229329328513,0.21069446785491594,0.15652414772088477,0.6280177128483859,0.2358868732480079,0.18235298204972825
16,32,0.0005,42,0.5431563378228038,0.2614125573107018,0.1953937513843909,0.7169946379570769,0.20575006238901658,0.15153027012539474,0.6338850624757821,0.23401913394376303,0.1775219168768724
16,32,0.0005,21,0.5094826290611476,0.2708755707857433,0.19607182632860748,0.26088548048142435,0.3325052527478954,0.2345035906103005,0.6173623760518365,0.23924147926492112,0.1795592456916478
16,32,0.0005,0,0.5532587587954024,0.25850602329100014,0.1916762596735387,0.7249694025439545,0.20283044788659396,0.14769780051510967,0.6219156456388949,0.2378137693577615,0.1789409614822621
16,32,0.0001,42,0.3351861975963458,0.3153498706752637,0.2286725133573715,-0.6643798202788447,0.4989635998184741,0.3734747679427829,0.48096633835376845,0.27863803957490746,0.20204280593638638
16,32,0.0001,21,0.3548743584764754,0.3106453059312054,0.22599499425849354,-1.2218260851913842,0.5764978263639683,0.4036573930490847,0.3440444541168026,0.31324189861877677,0.2281728014140586
16,32,0.0001,0,0.3236938321778806,0.31806385443197843,0.23028594123323448,-0.852816698969618,0.5264521112052235,0.37880689071336093,0.4955965957291364,0.2746829152862229,0.1998547620413045
16,16,0.001,42,0.3793318169911468,0.3046999514347549,0.2343891650261523,0.6849871133656702,0.217073497520876,0.16383488045012695,0.5023393605077648,0.27284078486842245,0.21333711265661626
16,16,0.001,21,0.38669319481476083,0.30288762882839,0.2181509366602664,0.6719656468131545,0.22151457520301326,0.16541649377461415,0.4314786984634905,0.2916191329261628,0.22079881801480172
16,16,0.001,0,0.35281434347728236,0.31114088687176156,0.23130084751473343,0.6736967348449056,0.22092931871754784,0.16543266485156471,0.5534254141973006,0.2584578013676275,0.19665709369598683
16,16,0.0005,42,0.027659476838619468,0.38137466257141345,0.28383476556259285,0.6814294095007053,0.21829585217795927,0.16565772246242574,0.47057933891933845,0.2814123070140177,0.2117900714403832
16,16,0.0005,21,0.24001739255251509,0.33716654076167635,0.2489051503238922,0.6945428138220788,0.21375575536784805,0.15737902340277113,0.38098633983527763,0.3042935592101964,0.22114238447224466
16,16,0.0005,0,0.11510562438517324,0.3638215006853344,0.2777433341791806,0.695098927757589,0.21356108535556848,0.15744657290193984,0.3263860542289442,0.3174301529765779,0.24119450827892444
16,16,0.0001,42,-0.849789859210494,0.5260219182155181,0.41478652117440673,-1.5186120045244786,0.6137949034845466,0.4810685279255467,-0.5705304551842334,0.4846919700599646,0.3932351207048343
16,16,0.0001,21,-0.48846372530537097,0.47185848729300833,0.36643639646989273,-1.775221287699067,0.6443049272979275,0.4849802564167805,-0.3317521777636423,0.446328224624818,0.3603147114584902
16,16,0.0001,0,-0.5224552679951715,0.47721590988290313,0.38379929090268233,-1.9033935926355987,0.6590154564094988,0.4874642637421331,-0.4337394940246704,0.463103184930306,0.36445713266520957
16,8,0.001,42,0.6537527579749244,0.227580897042309,0.17286218556247201,0.6167842544618152,0.23942214427572736,0.1760201410989705,0.686031153666954,0.21671347800612697,0.1643241403849468
16,8,0.001,21,0.6520771430974475,0.22813090531070407,0.17428788951215168,0.5867651592245051,0.24862288914518027,0.17829547879698127,0.7019646002024433,0.21114294231458403,0.1604992456820247
16,8,0.001,0,0.6482242882711942,0.22939057431841595,0.17497660657446198,0.5701612465008223,0.2535685735946814,0.18103819596108667,0.688173237361692,0.21597293810895724,0.16293207050076955
16,8,0.0005,42,0.6607687341025121,0.22526337158097492,0.17083442758255887,0.6100119963711397,0.24152843509857624,0.17420228451369443,0.6936491572887895,0.21406821276469393,0.1629679762047974
16,8,0.0005,21,0.6615050176806068,0.22501877765334702,0.17048808942539334,0.6174034204634306,0.23922864755618056,0.17588244205037765,-1.7742076134467006,0.6441872474991475,0.5819899088287591
16,8,0.0005,0,-2.1510820887328883,0.6865505226309748,0.6139696496671116,0.5876017157337075,0.2483711043908952,0.1803404233100598,0.3493510858968587,0.3119722737324113,0.23150086574095918
16,8,0.0001,42,-2.698290732724358,0.7437777256584213,0.6757728950031243,-7.677382208096857,1.1392971396697287,1.0005514634388744,-2.548774594787127,0.7285877268803062,0.6641105092989814
