sep=,
SMILES,Catalog ID,MW,MW (desalted),ClogP,logS,HBD,HBA,TPSA,RotBonds,AnalogsFromREAL
CC=1ON=C(C1C(=O)NC2CCC(=O)NC2=O)C=3C=CC(F)=C(Br)C3,Z9275360251,410.195,410.195,1.575,-4.245,2,4,101.3,3,https://real.enamine.net/public-enum-files/Z9275360251
O=C(NC1CCC(=O)NC1=O)C=2SC=CC2S(=O)(=O)N3CCCCC3CCO,Z9275362254,429.514,429.514,0.312,-2.754,3,6,132.88,5,https://real.enamine.net/public-enum-files/Z9275362254
O=C(NC1CCC(=O)NC1=O)C=2C=NN3C=CC(=O)NC23,Z9275367083,289.248,289.248,-2.563,-1.911,3,5,122.19,2,https://real.enamine.net/public-enum-files/Z9275367083
Cl.O=C(NC1CCC(=O)NC1=O)C2=CON=C2C3CCNC3,Z9302774525,328.752,292.291,-2.084,-1.151,3,5,113.33,3,https://real.enamine.net/public-enum-files/Z9302774525
O=C(NC1CCC(=O)NC1=O)C2=CC(=NO2)C=3C=CC=C(C3)C=4N=NNN4,Z9275368859,367.32,367.32,0.595,-3.747,3,7,155.76,4,https://real.enamine.net/public-enum-files/Z9275368859
O=C(NC1CCC(=O)NC1=O)C2=CON=C2CNC(=O)C3CCCCNC3=O,Z9302744964,391.379,391.379,-2.177,-1.385,4,6,159.5,5,https://real.enamine.net/public-enum-files/Z9302744964
O=C(NCC1=NOC=C1C(=O)NC2CCC(=O)NC2=O)C3=NNC=4C=CC=CC34,Z9302744973,396.358,396.358,-0.308,-3.274,4,6,159.08,5,https://real.enamine.net/public-enum-files/Z9302744973
O=C(CCCC1CCCO1)NCC2=CC(=CO2)C(=O)NC3CCC(=O)NC3=O,Z9302745019,391.419,391.419,-0.928,-2.343,3,5,126.74,8,https://real.enamine.net/public-enum-files/Z9302745019
O=C(O)C(F)(F)F.O=C(NC1CCC(=O)NC1=O)C2=COC(=C2)CNC(=O)C=3C=CC4=CN=CN4C3,Z9311796129,509.393,395.37,-0.158,-3.943,3,5,134.81,6,https://real.enamine.net/public-enum-files/Z9311796129
O=C(O)C(F)(F)F.O=C(COCC1=NN=CN1)NCCN2C=NC(=C2)C(=O)NC3CCC(=O)NC3=O,Z9331724200,518.405,404.382,-2.895,-2.134,4,8,172.99,10,https://real.enamine.net/public-enum-files/Z9331724200
