"Molecule (Canonical)","ExactMW","label"
"C=CC(=O)N1CCOc2cc(OC)ccc2C1",233.10519334,"Covalent"
"C=CC(=O)N1CCC(c2ncc(C)s2)CC1",236.098334132,"Covalent"
"C=CC(=O)N1CCCSc2ccc(F)cc21",237.062363224,"Covalent"
"C=CC(=O)N1CCCN(C(=O)CC(C)C)CC1",238.168127944,"Covalent"
"C=CC(=O)N(C)Cc1ccn(-c2ccccc2)n1",241.1215121,"Covalent"
"C=CC(=O)NCc1coc(-c2ccc(C)cc2)n1",242.105527688,"Covalent"
"C=CC(=O)NC(C)c1ncc(-c2ccccc2)o1",242.105527688,"Covalent"
"C=CC(=O)NC(C)c1nnnn1-c1ccccc1",243.112010036,"Covalent"
"C=CC(=O)Nc1cccc2c1CN(CC(C)C)C2",244.15756326,"Covalent"
"C=CC(=O)NC1(C(N)=O)CCOc2ccccc21",246.100442308,"Covalent"
"C=CC(=O)N(C)C1CCN(c2cnccn2)CC1",246.148061196,"Covalent"
"C=CC(=O)NCC1CCCN(c2ncccn2)C1",246.148061196,"Covalent"
"C=CC(=O)N1CC(C)NC(=O)c2ccc(F)cc21",248.096105876,"Covalent"
"C=CC(=O)NCC1CC(C)(C)OC1(C)C",211.157228912,"Covalent"
"C=CC(=O)NC1CC(C)Cc2cc(OC)ccc21",245.141578848,"Covalent"
"C=CC(=O)N1CCC(c2ccccc2)OC(C)C1",245.141578848,"Covalent"
"C=CC(=O)NC1CC(C)Cc2cccc(OC)c21",245.141578848,"Covalent"
"C=CC(=O)N(C)Cc1ccnc(N(C)C)n1",220.132411132,"Covalent"
"C=CC(=O)N1CCSCC1c1nccs1",240.039105004,"Covalent"
"C=CC(=O)NC1CCOC(c2cnn(C)c2)C1",235.132076784,"Covalent"
"C=CC(=O)N1CC(C)(C)O[C@@H]2COC[C@H]21",211.120843404,"Covalent"
"C=CC(=O)Nc1ccc(N(CC)C(C)=O)nc1",233.11642672,"Covalent"
"C=CC(=O)N[C@H]1C[C@H](C(=O)OC)C1",183.089543276,"Covalent"
"C=CC(=O)Nc1cnn2c1CCCC2",191.105862036,"Covalent"
"C=CC(=O)N[C@H]1C[C@H](SC)C1",171.071785036,"Covalent"
"C=CC(=O)N1C2CCC1CC(c1noc(C)n1)C2",247.132076784,"Covalent"
"C=CC(=O)N1CCC1(C)C1CCCCC1",207.162314292,"Covalent"
"C=CC(=O)N1CCCC1(C)c1ccccc1",215.131014164,"Covalent"
"C=CC(=O)NCC1(C)CCOC2(CCC2)C1",223.157228912,"Covalent"
"C=CC(=O)NCc1nccc2c1CCCC2",216.126263132,"Covalent"
"C=CC(=O)N1CCN(C)c2nc(OC)ccc21",233.11642672,"Covalent"
"C=CC(=O)NCC1CCN(C)C1=O",182.105527688,"Covalent"
"C=CC(=O)NC1CCSC2(CCC2)C1",211.103085164,"Covalent"
"C=CC(=O)N[C@H](C)c1ccc(OC)c(C)c1",219.125928784,"Covalent"
"C#CCN(Cc1ccc(C)cc1)C(=O)C=C",213.1153641,"Covalent"
"C=CC(=O)NCc1ccc(OC)c(C#N)c1",216.089877624,"Covalent"
"C=CC(=O)Nc1ccc(-n2ccc(C)n2)cc1",227.105862036,"Covalent"
"C=CC(=O)Nc1cc(C(F)F)ccc1F",215.055798536,"Covalent"
"C=CC(=O)Nc1cc2sc(=O)n(C)c2cc1C",248.061948624,"Covalent"
"C=CC(=O)Nc1ccc(F)c(C(F)F)c1",215.055798536,"Covalent"
"C=CC(=O)NCc1ccnc(-c2ccccn2)n1",240.101111004,"Covalent"
"C=CC(=O)Nc1ccc(N(C)C(=O)NC)cc1",233.11642672,"Covalent"
"C=CC(=O)Nc1ccc2c(c1)C(=O)N(C)C2",216.089877624,"Covalent"
"C=CC(=O)NC1CN(c2ccccc2)C1",202.110613068,"Covalent"
"C=CC(=O)N1CCC2(CC1)CC(C(=O)O)C2",223.120843404,"Covalent"
"C=CC(=O)NC(C)c1ccn(C(C)C)n1",207.137162164,"Covalent"
"C=CC(=O)N[C@H](C1CC1)C(F)(F)F",193.0714486,"Covalent"
"C=CC(=O)NCC1CC(C(C)(C)C)=NO1",210.136827816,"Covalent"
"C=CC(=O)N1COCC2(COCCN2C)C1",226.131742436,"Covalent"
"C=CC(=O)NC1(C)CCOC12CC2(F)F",217.091435096,"Covalent"
"C=CC(=O)NCc1conc1C1CCC1",206.105527688,"Covalent"
"C=CC(=O)NC(C)(C)c1ncccc1C",204.126263132,"Covalent"
"C=CC(=O)NC(C)(C)C(=O)c1ccccc1C",231.125928784,"Covalent"
"C=CC(=O)N[C@@H]1CCC[C@]12CCCCO2",209.141578848,"Covalent"
"C=CC(=O)NC12CC3CC(C1)C(F)(F)C(C3)C2",241.127820604,"Covalent"
"C=CC(=O)NC(C)C(O)C1CCCCC1",211.157228912,"Covalent"
"C=CC(=O)N1CC(F)(F)CC1(C)C(=O)O",219.070699652,"Covalent"
"C=CC(=O)N1C[C@H]2C[C@@H](C(=O)O)C[C@H]2C1",209.10519334,"Covalent"
"C=CC(=O)N1CCC(C(=O)O)C1(C)C",197.10519334,"Covalent"
"C=CC(=O)N(C)Cc1cc(-c2ccccc2)[nH]n1",241.1215121,"Covalent"
"C=CC(=O)Nc1cnc2ccc(F)cc2c1",216.069891128,"Covalent"
"C=CC(=O)NC(C)c1n[nH]c(-c2cccs2)n1",248.073182004,"Covalent"
"C=CC(=O)N1CCC(C)(CS(C)(=O)=O)CC1",245.108564468,"Covalent"
"C=CC(=O)Nc1ccc(Cl)c2cn[nH]c12",221.035589556,"Covalent"
"C=CC(=O)Nc1ccc2c(c1)C(O)CCCC2",231.125928784,"Covalent"
"C=CC(=O)Nc1cccc(C(O)C(F)(F)F)c1",245.06636322,"Covalent"
"C=CC(=O)Nc1ccc2c(c1)C(=O)NCCC2",230.105527688,"Covalent"
"C=CC(=O)NCc1nn(C)c(=O)c2ccccc12",243.100776656,"Covalent"
"C=CC(=O)Nc1cc(C(=O)NCC)sc1C",238.077598688,"Covalent"
"C=CC(=O)Nc1ccc(-n2cnnn2)c(F)c1",233.071288096,"Covalent"
"C=CC(=O)NCc1nnc(C2CCCO2)[nH]1",222.111675688,"Covalent"
"C=CC(=O)N1CCCCC1CNC(=O)NC",225.147726848,"Covalent"
"C=CC(=O)N1CC(O)CC1C1CC1",181.11027872,"Covalent"
"C=CC(=O)N1CC(C)(CO)Oc2ccccc21",233.10519334,"Covalent"
"C=CC(=O)NCc1cn(C)nc1C(F)F",215.087018412,"Covalent"
