smiles,cov_crbn_label
NCC1CCC(NC(=O)c2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)CC1,0
N#CN1CCC(c2cccc3c2CCCC(Nc2cccc(N4CCC(=O)NC4=O)c2)C3)C1,1
O=C1CCC(N2C(=O)c3ccc(-c4ccccc4OS(=O)(=O)F)cc3C2=O)C(=O)N1,1
O=C1CCC(N2C(=O)c3ccc(-c4ccccc4S(=O)(=O)F)cc3C2=O)C(=O)N1,1
O=C1CCC(N2C(=O)c3ccc(-c4cccc(OS(=O)(=O)F)c4)cc3C2=O)C(=O)N1,1
O=C1CCC(N2C(=O)c3ccc(-c4ccccc4)cc3C2=O)C(=O)N1,0
O=C1CCC(N2C(=O)c3ccc(-c4cccc(S(=O)(=O)F)c4)cc3C2=O)C(=O)N1,1
O=C1CCC(N2C(=O)c3ccc(-c4ccc(OS(=O)(=O)F)cc4)cc3C2=O)C(=O)N1,1
N#CN1CCC(c2cncc(-c3ncc(C(=O)NC4CCC(=O)NC4=O)s3)n2)CC1,1
O=C1CCC(NC(=O)c2cc(C3CC3)[nH]c(=O)c2)C(=O)N1,0
CCc1cn2c(C(=O)Nc3ccc(NC4CCC(=O)NC4=O)cc3)cccc2n1,0
O=C1CCC(NC(=O)c2cccc(CNC(=O)C34CC3C4)c2)C(=O)N1,0
NC1CCCC(CNC(=O)c2ccc3c(c2)C(=O)N(C2CCC(=O)NC2=O)C3)C1,0
O=C1CCC(N2C(=O)c3nccnc3C2=O)C(=O)N1,0
O=C1CCC(N2C(=O)c3ncc(OS(=O)(=O)F)nc3C2=O)C(=O)N1,1
O=C1CCC(n2cc(-c3cscc3Br)nn2)C(=O)N1,0
COC(=O)c1cc(-c2cn(C3CCC(=O)NC3=O)nn2)cs1,0
CCOc1cc(-c2cn(C3CCC(=O)NC3=O)nn2)cs1,0
COc1cc(-c2cn(C3CCC(=O)NC3=O)nn2)cs1,0
COc1c(-c2cn(C3CCC(=O)NC3=O)nn2)csc1C(=O)O,0
O=C1CCC(n2cc(-c3ccsc3S(=O)(=O)F)nn2)C(=O)N1,1
O=C1CCC(n2cc(-c3ccsc3OS(=O)(=O)F)nn2)C(=O)N1,1
CCOc1cscc1-c1cn(C2CCC(=O)NC2=O)nn1,0
COC(=O)c1scc(-c2cn(C3CCC(=O)NC3=O)nn2)c1OC,0
COc1cscc1-c1cn(C2CCC(=O)NC2=O)nn1,0
O=C1CCC(n2cc(-c3ccsc3)nn2)C(=O)N1,0
CSc1cscc1-c1cn(C2CCC(=O)NC2=O)nn1,0
O=C1CCC(n2cc(-c3cscc3S(=O)(=O)F)nn2)C(=O)N1,1
Cc1cc(-c2cn(C3CCC(=O)NC3=O)nn2)cs1,0
Cc1cscc1-c1cn(C2CCC(=O)NC2=O)nn1,0
CS(=O)(=O)c1cscc1-c1cn(C2CCC(=O)NC2=O)nn1,0
CC(C)Oc1cscc1-c1cn(C2CCC(=O)NC2=O)nn1,0
COc1sccc1-c1cn(C2CCC(=O)NC2=O)nn1,0
N#CN1CCC(c2ccc3n(c2=O)C(C(=O)Nc2ccc(C4CCC(=O)NC4=O)cc2)CC3)C1,1
N#CN1CCCC(c2ccc(-c3cn(C4CCC(=O)NC4=O)nn3)c3ncccc23)C1,1
COc1ccccc1-c1noc(C)c1C(=O)NC1CCC(=O)NC1=O,0
N#CN1CCC(c2ccccc2NC(=O)c2ccc3c(c2)C(=O)N(C2CCC(=O)NC2=O)C3)CC1,1
O=C1CCC(c2ccc(NC(=O)c3cn(C(F)F)ccc3=O)cc2)C(=O)N1,0
O=C1CCC(NC(=O)c2nc3n(n2)-c2ccccc2S(=O)(=O)N3)C(=O)N1,0
CN1CCn2ncc(C(=O)NC3CCC(=O)NC3=O)c2C1=O,0
N#CN1CCCC(c2ccc(-c3[nH]ncc3C(=O)NC3CCC(=O)NC3=O)cc2)C1,1
Cc1nnc2sc(C(=O)NC3CCC(=O)NC3=O)c(N)c2c1C,0
O=C1CCC(NC(=O)c2cc3cc(S(=O)(=O)F)nnc3s2)C(=O)N1,1
O=C1CCC(NC(=O)c2cc3c(S(=O)(=O)F)cnnc3s2)C(=O)N1,1
Cn1cc(C(O)C(=O)NCc2cc(C(=O)NC3CCC(=O)NC3=O)on2)cn1,0
CN(c1cc(Cl)nc(NC2CC2)n1)C1CCC(=O)NC1=O,0
Cc1cccc(C(=O)NC2CCC(=O)NC2=O)c1NC(=O)c1ccncc1,0
CC1(C)COCCC1C(=O)NCc1cc(C(=O)NC2CCC(=O)NC2=O)on1,0
Cc1ccc(-n2cnnc2)c(C(=O)NC2CCC(=O)NC2=O)c1,0
O=C1CCC(N2Cc3cc(C(=O)NC4CCSCC4)ccc3C2=O)C(=O)N1,0
N#CN1CCCC(c2ccccc2-c2cncc(C(=O)NC3CCC(=O)NC3=O)c2)C1,1
Cn1nc(C(=O)NC2CCC(=O)NC2=O)cc1C1CCCO1,0
Cn1ccc2ccc(CNC3=CC(=O)N(C4CCC(=O)NC4=O)C3=O)cc21,1
N#CN1CCCC(c2ccnc(-c3ccc4c(c3)CN(C3CCC(=O)NC3=O)C4=O)c2C2CC2)C1,1
CC1(NC(=O)c2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)CC1,0
O=C1CCC(N2Cc3cc(C(=O)NC4(C(=O)O)CC4)ccc3C2=O)C(=O)N1,0
CN(C(=O)c1ccc2c(c1)CN(C1CCC(=O)NC1=O)C2=O)C1CC1,0
O=C1CCC(N2Cc3cc(C(=O)NC4CC4)ccc3C2=O)C(=O)N1,0
O=C1CCC(N2Cc3cc(-c4cc(CN5CCCC5)c5[nH]nc(C6CCC6)c5n4)ccc3C2=O)C(=O)N1,0
CN1CCc2nc(C(=O)Nc3ccc(NC4CCC(=O)NC4=O)cc3)sc2C1,0
O=C1CCC(NC(=O)c2cc(-c3ccc(Cl)cc3)nn2CC2CC2)C(=O)N1,0
O=C1CCC(N2Cc3cc(-c4cccc(-c5ncccn5)n4)ccc3C2=O)C(=O)N1,0
N#CN1CCC(c2cc(-c3ccc4c(c3)C(=O)N(C3CCC(=O)NC3=O)C4)cc3c2CCC3)C1,1
Cc1[nH]c(=O)nc(S)c1C(=O)NC1CCC(=O)NC1=O,0
COc1cc2c(Nc3ccc(C4CCC(=O)NC4=O)cc3)nc(C)nc2cc1F,0
CC(=O)Nc1ccc(S(=O)(=O)Nc2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)cc1,0
Cc1cccc(S(=O)(=O)Nc2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)c1,0
CCCc1ccc(S(=O)(=O)Nc2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)cc1,0
Cc1ccc(C2c3c(-c4ccccc4O)n[nH]c3C(=O)N2C)cc1,0
O=C1CCC(NC(=O)c2ccc3oc(-c4ccccc4Cl)nc3c2)C(=O)N1,0
O=C1CCC(NC(=O)c2ncoc2-c2ccc3c(c2)OCCO3)C(=O)N1,0
O=C1CC(NC(=O)OCC2CCC[NH2+]2)C(=O)N1,0
O=C1CCC(N2Cc3c(ccc4c3OCC43CCN(Cc4ccccc4)CC3)C2=O)C(=O)N1,0
O=C1CCC(N2Cc3c(ccc4c3OCC43CCN(Cc4ccccc4)CC3(F)F)C2=O)C(=O)N1,0
O=C1CCC(N2Cc3c(ccc4c3OCC43CCN(Cc4ccccc4)CC3O)C2=O)C(=O)N1,0
O=C1CCC(c2ccc(OCc3ccc(CN4CCOCC4)cc3)cc2)C(=O)N1,0
CCOc1cc(-c2ccccc2)sc1C(=O)NC1CCC(=O)NC1=O,0
