molecule_id,filename,avg_homo_ev,avg_lumo_ev,avg_gap_ev,gm_uma_energy_ev,num_conformers
6613,ligand_6613.sdf,-11.07190324,-8.897193539,2.174709704,-44512.90749,4
6614,ligand_6614.sdf,-11.10951642,-8.882608247,2.226908175,-44512.94379,3
6615,ligand_6615.sdf,-10.40950615,-8.107239162,2.302266992,-35157.55337,11
6616,ligand_6616.sdf,-10.40990361,-8.113477296,2.296426312,-35157.55315,9
6617,ligand_6617.sdf,-10.83613498,-8.538745824,2.297389152,-35158.81767,19
6618,ligand_6618.sdf,-10.83265993,-8.534479864,2.298180066,-35158.74718,19
6619,ligand_6619.sdf,-10.84282819,-8.53951861,2.303309579,-35158.81754,16
662,ligand_662.sdf,-10.4261384,-7.479160117,2.946978284,-24937.90406,7
6620,ligand_6620.sdf,-10.83845189,-8.54247423,2.295977664,-35158.74948,19
6621,ligand_6621.sdf,-11.2676748,-8.444372471,2.823302325,-52304.065,4
6622,ligand_6622.sdf,-11.2675684,-8.444166577,2.823401827,-52304.0663,4
6623,ligand_6623.sdf,-11.36519985,-8.684441377,2.680758475,-52303.99721,6
6624,ligand_6624.sdf,-11.37403175,-8.683090825,2.690940923,-52303.9949,6
6625,ligand_6625.sdf,-11.20933886,-8.307997451,2.901341414,-52304.06534,8
6626,ligand_6626.sdf,-11.34996949,-8.608349149,2.741620341,-52304.08035,5
6627,ligand_6627.sdf,-11.27681419,-8.352964879,2.923849313,-52304.02422,12
6628,ligand_6628.sdf,-11.36431831,-8.417696035,2.946622274,-52304.05525,4
6629,ligand_6629.sdf,-11.32060022,-8.340561871,2.980038345,-52304.02844,10
663,ligand_663.sdf,-10.42343725,-7.47860933,2.944827919,-24937.90653,6
6630,ligand_6630.sdf,-11.25870725,-8.58954231,2.669164943,-52303.97196,5
6631,ligand_6631.sdf,-11.22726787,-8.501829811,2.725438058,-52304.02583,9
6632,ligand_6632.sdf,-11.27533899,-8.353032374,2.922306618,-52304.02009,11
6633,ligand_6633.sdf,-11.32271596,-8.39351989,2.929196074,-52304.10813,13
6634,ligand_6634.sdf,-11.36468123,-8.418063892,2.946617342,-52304.05567,4
6635,ligand_6635.sdf,-11.17359117,-8.280991734,2.892599437,-52303.95282,12
6636,ligand_6636.sdf,-11.2067945,-8.305475318,2.901319178,-52304.06422,9
6637,ligand_6637.sdf,-11.2606932,-8.590164945,2.670528251,-52303.97063,5
6638,ligand_6638.sdf,-11.16429972,-8.450132374,2.71416735,-52304.02795,13
6639,ligand_6639.sdf,-11.32347515,-8.393835813,2.929639338,-52304.10797,11
664,ligand_664.sdf,-10.57686625,-7.685253512,2.891612739,-24939.28456,5
6640,ligand_6640.sdf,-11.17733011,-8.283698928,2.893631186,-52303.95127,8
6641,ligand_6641.sdf,-11.348366,-8.607844475,2.740521524,-52304.07974,5
6642,ligand_6642.sdf,-11.32418517,-8.344863664,2.979321501,-52304.02731,11
6643,ligand_6643.sdf,-10.65769528,-8.142483745,2.515211538,-43995.52004,21
