"Molecule (Canonical)","ExactMW","label"
"C=CC(=O)N1CCN(C(=O)C2CC2)C1",194.105527688,"Covalent"
"C=CC(=O)N1CCC(C(C)(C)O)CC1",197.141578848,"Covalent"
"C=CC(=O)NCc1cnoc1",152.058577496,"Covalent"
"C=CC(=O)N1CCCC(C(C)(C)O)C1",197.141578848,"Covalent"
"C=CC(=O)NC[C@H]1C[C@H](OC)C1",169.11027872,"Covalent"
"C=CC(=O)NC1CCC2CCC1OC2",195.125928784,"Covalent"
"C=CC(=O)NC1COCC1C1CC1",181.11027872,"Covalent"
"C=CC(=O)NC1CCCC1C(C)(C)C",195.162314292,"Covalent"
"C=CC(=O)N1CCC(=O)N2CCCC12",194.105527688,"Covalent"
"C=CC(=O)NC1CN(C(=O)C2CC2)C1",194.105527688,"Covalent"
"C=CC(=O)NCC(=O)N1CC=CC1",180.089877624,"Covalent"
"C=CC(=O)N1C[C@H](CO)[C@@H](C2CC2)C1",195.125928784,"Covalent"
"C=CC(=O)NCC1(C)COC(=O)N1",184.084792244,"Covalent"
"C=CC(=O)N[C@@H]1C[C@H]1c1cccnc1",188.094963004,"Covalent"
"OB(O)c1cccnc1",123.04915883199999,"Covalent"
"Cc1cc(O)ncc1B(O)O",153.059723516,"Covalent"
"OB(O)c1ccc(O)nc1F",157.03465164,"Covalent"
"OB(O)c1ccn2nccc2c1",162.060057864,"Covalent"
"CN(C)c1cccc(B(O)O)c1",165.096109024,"Covalent"
"O=[N+]([O-])c1ccc(B(O)O)cn1",168.03423704,"Covalent"
"Cc1cc(Cl)c(B(O)O)cc1F",188.021165764,"Covalent"
"OB(O)c1cc2ncccc2s1",179.021229832,"Covalent"
"COc1ccc(OC)c(B(O)O)c1",182.075039232,"Covalent"
"OB(O)c1ccc2c(c1)OCCO2",180.059389168,"Covalent"
"O=C(O)c1ccc(B(O)O)cc1F",184.034317292,"Covalent"
"Cc1ccc2[nH]ncc2c1B(O)O",176.07570792799999,"Covalent"
"NC(=O)c1ccc(B(O)O)cc1Cl",199.020751164,"Covalent"
"CC(=O)Nc1ccc(B(O)O)cc1",179.07537358,"Covalent"
"COc1ccc(CO)cc1B(O)O",182.075039232,"Covalent"
"NC(=O)c1cccc(B(O)O)c1F",183.050301704,"Covalent"
"COc1cc(OC)cc(B(O)O)c1",182.075039232,"Covalent"
"CP(C)(=O)c1ccc(B(O)O)cc1",198.061711274,"Covalent"
"OB(O)c1ccc2c(c1)OCCCO2",194.075039232,"Covalent"
"OB(O)c1cccc2c1OCCCO2",194.075039232,"Covalent"
"CCN(CC)c1ncc(B(O)O)cn1",195.11790708799998,"Covalent"
"OB(O)c1cnc2ccc(F)cc2c1",191.055387084,"Covalent"
"OB(O)/C=C/c1cc(F)cc(F)c1",184.050716304,"Covalent"
"OB(O)c1cc(F)cc2ccoc12",180.039402672,"Covalent"
"Cn1ncc(B(O)O)c1C#N",151.055306832,"Covalent"
"OB(O)c1ccoc1Cl",145.994202068,"Covalent"
"OB(O)c1ccnc(Cl)c1",157.01018648,"Covalent"
"Cc1ccc(B(O)O)cn1",137.06480889600002,"Covalent"
"OB(O)c1ccc(F)nc1",141.03973702,"Covalent"
"OCc1cccc(B(O)O)c1",152.064474548,"Covalent"
"COc1ncc(B(O)O)cn1",154.05497248400002,"Covalent"
