sep=,
SMILES,Catalog ID,MW,MW (desalted),ClogP,logS,HBD,HBA,TPSA,RotBonds,AnalogsFromREAL
CC1=CC(=CC(=C1)C(=O)NC(C=2C=CC(Cl)=CC2)C=3C=CC=C4C=CC=CC34)N5CCC(=O)NC5=O,Z9302749723,497.973,497.973,4.234,-8.522,2,3,78.51,5,https://real.enamine.net/public-enum-files/Z9302749723
O=C(O)C(F)(F)F.CCN(CCN1C=C(N=N1)C2(CO)COCCN2C)C(=O)C3=CC(=CC=C3C)N4CCC(=O)NC4=O,Z9311796250,613.587,499.564,-1.68,-2.712,2,8,133.13,9,https://real.enamine.net/public-enum-files/Z9311796250
CC=1C(N)=CC=CC1N2C=C(N=N2)C3CC43CCN(CC4)C(=O)C=5C=CC(=CC5)N6CCC(=O)NC6=O,Z9302749858,499.566,499.566,0.141,-4.197,2,6,126.45,4,https://real.enamine.net/public-enum-files/Z9302749858
N#CC=1C=CC=C2NC(=CC12)C=3C=CC(=CC3)N4CCC(=O)NC4=O,Z9302749941,330.341,330.341,1.724,-5.52,2,3,88.99,2,https://real.enamine.net/public-enum-files/Z9302749941
CC=1C=C(C=CC1N2CCC(=O)NC2=O)C=3C=C(N)C=C(C3)C(=O)N4CCOCC4,Z9302750302,408.451,408.451,0.113,-5.142,2,5,104.97,3,https://real.enamine.net/public-enum-files/Z9302750302
CCN1N=C(CCCNC=2C=CC(F)=C(C2)N3CCC(=O)NC3=O)C=4C=CC=CC41,Z9302750312,409.458,409.458,2.031,-4.298,2,4,79.26,7,https://real.enamine.net/public-enum-files/Z9302750312
O=C(O)C(F)(F)F.CN(CC1=NOC=2CCNCC12)C(=O)C3=CC(Cl)=CC(=C3)N4CCC(=O)NC4=O,Z9318551630,531.87,417.847,-1.543,-3.54,2,5,107.78,5,https://real.enamine.net/public-enum-files/Z9318551630
CC=1C=CC(=CC1)CN2C=CC=CC2=NC(=O)C3=CC=C(C)C(=C3)N4CCC(=O)NC4=O,Z9302750647,428.484,428.484,2.236,-5.756,1,5,82.08,4,https://real.enamine.net/public-enum-files/Z9302750647
CC=1C=CC(=CC1C(=O)N2CCN(CC2)C3=CN=CC4=NC=NN34)N5CCC(=O)NC5=O,Z9302750797,434.452,434.452,-1.178,-4.219,1,7,116.04,3,https://real.enamine.net/public-enum-files/Z9302750797
O=C(NC=1C=C(Cl)C=C(C1)N2CCC(=O)NC2=O)C3=C(N=C4C=NC=CN34)C(F)F,Z9302750814,434.784,434.784,0.24,-4.173,2,5,108.7,4,https://real.enamine.net/public-enum-files/Z9302750814
O=C(C=1C=C(C=CC1F)N2CCC(=O)NC2=O)N(CC3=NC=4C=CSC4C(=O)N3)C5CC5,Z9302751348,455.464,455.464,-0.749,-4.833,2,5,111.18,5,https://real.enamine.net/public-enum-files/Z9302751348
COC=1C=CC=2C=3SC(=CC3CCC2C1)C(=O)NC4=CC=C(C(F)=C4)N5CCC(=O)NC5=O,Z9302751562,465.499,465.499,2.957,-6.954,2,4,87.74,4,https://real.enamine.net/public-enum-files/Z9302751562
CC=1C=C(C=C(C1)N2CCC(=O)NC2=O)NC(=O)CCC3=NC(=O)C=4C=5CCCC5SC4N3,Z9302751564,465.527,465.527,0.829,-5.693,3,6,119.97,5,https://real.enamine.net/public-enum-files/Z9302751564
COC=1C=C2C(=CC1Cl)NC=3CCN(CC23)C(=O)C=4C=C(C)C=C(C4)N5CCC(=O)NC5=O,Z9302751605,466.917,466.917,1.888,-6.379,2,4,94.74,3,https://real.enamine.net/public-enum-files/Z9302751605
CC=1C=CC(=CC1C(=O)NC=2C=CC(=CC2)OC=3N=NC=C4C=CC=CC34)N5CCC(=O)NC5=O,Z9302751613,467.477,467.477,1.028,-7.426,2,5,113.52,5,https://real.enamine.net/public-enum-files/Z9302751613
CC(=O)NCC1=CC=C(O1)C2=CSC(=N2)NC(=O)C3=CC=CC(=C3C)N4CCC(=O)NC4=O,Z9302751617,467.5,467.5,0.008,-5.27,3,5,133.64,6,https://real.enamine.net/public-enum-files/Z9302751617
CCOC=1C=CC=2C=CC=CC2C1C(=O)NCC(=O)NC3=CC(=CC=C3C)N4CCC(=O)NC4=O,Z9302751845,474.51,474.51,1.216,-6.603,3,5,116.84,7,https://real.enamine.net/public-enum-files/Z9302751845
CC=1C=CC(=CC1N2CCC(=O)NC2=O)C(=O)N(C)CCOC3=CC=C(C=C3F)S(N)(=O)=O,Z9302751976,478.496,478.496,-0.37,-4.431,2,6,139.11,7,https://real.enamine.net/public-enum-files/Z9302751976
CC=1OC(=NC1CC(=O)N2CCC(CC2)C=3C=CC(=CC3)N4CCC(=O)NC4=O)C=5C=CSC5,Z9302752008,478.566,478.566,1.239,-4.695,1,4,95.75,5,https://real.enamine.net/public-enum-files/Z9302752008
